,,,,,,,,mM/OD,mM/OD,mM/OD/h,h,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mM/OD,mm/h,ug/ml/OD600,ug/ml/OD600,,uM/OD/h
ECOR55,,MOPS,R/P expt,Glu+CAA+ACGU,1.8468,,,,,0,,,,,,,,,,161.7684723,322.3072736,0.501907607,
ECOR55,,N-C-,R/P expt,Glu+CAA,1.1796,,,,,0,,,,,,,,,,108.2398583,275.7266234,0.392562231,
ECOR55,,N-C-,R/P expt,Glucose,0.3695,,,,,0,,,,,,,,,,78.4439065,298.1682371,0.263086059,
ECOR55,,N-C-,R/P expt,Glycerol,0.5708,,,,,0,,,,,,,,,,67.26036269,283.2182313,0.248458416,
ECOR55,,N-C-,R/P expt,Glycerol,0.59375,,,,,0,,,,,,,,,,75.10809602,289.7889589,0.248458416,
ECOR55,,N-C-,R/P expt,Acetate,0.3578,,,,,0,,,,,,,,,,68.79367273,289.6676696,0.237491719,
ECOR55,,N-C-,Yield expt (in acetate),Acetate,,,,,8.98,0,,,,,,,,,,,,,
ECOR55,,N-C-,Diauxie expt,Glucose,0.604426,Acetate,0.028675,,,0,4.703141,,,,,,,,,,,,
ECOR55,,N-C-,Preferred sugar expt_I,Mixed carbon,0.78013536,,,,,0,,,,,,,,,,,,,
ECOR55,,N-C-,Preferred sugar expt_II,Mixed carbon,0.76703581,,,,,0,,,,,,,,,,,,,
ECOR55,,MOPS,Preferred sugar expt,Mixed carbon,0.830751288,,,4.158786678,-3.521252482,-2.925285035,,0.753499752,0.055302766,0.927729733,-0.094334979,,,,,,,,
ECOR59,,LB,Growth rate expt_I,LB,2.23172265,,,,,0,,,,,,,,,,,,,
ECOR59,,LB,Growth rate expt_II,LB,2.31491599,,,,,0,,,,,,,,,,,,,
ECOR59,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.839279,,,,,0,,,,,,,,,,,,,
ECOR59,,MOPS,soft_agar expt_I,Glycerol,0.6791,,,,,0,,,,,,,,,2.4698,,,,
ECOR59,,MOPS,soft_agar expt_I,Glu+CAA,1.19,,,,,0,,,,,,,,,,,,,
ECOR59,,MOPS,soft_agar expt_I,Gly+CAA,1.171,,,,,0,,,,,,,,,,,,,
ECOR59,,MOPS,swimming expt_I,Gly+CAA,1.14,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_I,Glucose,0.71393555,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_II,Glucose,0.72357567,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_I,Glycerol,0.61850269,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_I,Acetate,0.24882968,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_II,Acetate,0.35325363,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_I,Maltose,0.759834,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_I,Fructose,0.654658,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Growth rate expt_I,Succinate,0.689485,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Yield expt (in glucose),Glucose,0.71393555,,,3.96893,-3.761428,-2.685417168,,,,,,,,,,,,,
ECOR59,,LB,R/P expt,LB,2.3439,,,,,0,,,,,,,,,,176.2046845,305.8198594,0.602538725,
ECOR59,,LB,R/P expt,LB,2.558,,,,,0,,,,,,,,,,193.7775565,308.2190821,0.602538725,
ECOR59,,MOPS,R/P expt,Glu+CAA+ACGU,1.8393,,,,,0,,,,,,,,,,167.8679245,304.5649199,0.469071658,
ECOR59,,N-C-,R/P expt,Glu+CAA,1.3245,,,,,0,,,,,,,,,,107.39296,261.3640117,0.410894213,
ECOR59,,N-C-,R/P expt,Glucose,0.8237,,,,,0,,,,,,,,,,80.43629924,265.5997659,0.298335691,
ECOR59,,N-C-,R/P expt,Glucose,0.80435,,,,,0,,,,,,,,,,84.73435526,288.0405115,0.298335691,
ECOR59,,N-C-,R/P expt,Glycerol,0.6166,,,,,0,,,,,,,,,,70.28066349,263.1344017,0.250190327,
ECOR59,,N-C-,R/P expt,Glycerol,0.62555,,,,,0,,,,,,,,,,71.39117647,303.121863,0.250190327,
ECOR59,,N-C-,R/P expt,Acetate,0.3955,,,,,0,,,,,,,,,,70.5632716,287.9038956,0.245093146,
ECOR59,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR59,,N-C-,Diauxie expt,Glucose,0.656002,Acetate,0.239056,,,0,2.046177,,,,,,,,,,,,
ECOR59,,N-C-,Preferred sugar expt,Mixed carbon,0.796754,,,,,0,,,,,,,,,,,,,
ECOR59,,MOPS,Preferred sugar expt,Mixed carbon,0.957024213,,,4.298394906,-2.857219191,-2.734427947,,0.317266283,0.043504486,1.036546922,-0.324898385,,,,,,,,
ECOR61,,LB,Growth rate expt_II,LB,2.40867517,,,,,0,,,,,,,,,,,,,
ECOR61,,LB,Growth rate expt_I,LB,2.32910862,,,,,0,,,,,,,,,,,,,
ECOR61,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.752395,,,,,0,,,,,,,,,,,,,
ECOR61,,MOPS,soft_agar expt_I,Glycerol,,,,,,0,,,,,,,,,,,,,
ECOR61,,MOPS,soft_agar expt_I,Glu+CAA,1.0222,,,,,0,,,,,,,,,,,,,
ECOR61,,MOPS,soft_agar expt_I,Gly+CAA,1.142,,,,,0,,,,,,,,,,,,,
ECOR61,,MOPS,swimming expt_I,Gly+CAA,1.1,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_I,Glucose,0.38003786,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_II,Glucose,0.52103698,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_I,Glycerol,0.26204533,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_I,Acetate,0.31219002,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_II,Acetate,0.32296143,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_I,Maltose,0.129576,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_I,Fructose,0.202398,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Growth rate expt_I,Succinate,0.536817,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Yield expt (in glucose),Glucose,0.4363,,,8.62,-3.9182,-1.70951066,,,,,,,,,,,,,
ECOR61,,MOPS,Yield expt (in galactose),Galactose,0.062012,,,,0,0,,,,,,,,,,,,,
ECOR61,,MOPS,Yield expt (in glu+CAA),Glu+CAA,0.5356,,,,-4.886,-2.6169416,,,,,,,3.273,,,,,,
ECOR61,,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.752395,,,,-11.168,-19.57074736,,,,,,,,,,,,,
ECOR61,,N-C-,Yield expt (in acetate),Acetate,,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,Diauxie expt,Glucose,0.544903,Acetate,0.306313,,,0,0.872152,,,,,,,,,,,,
ECOR61,,N-C-,Preferred sugar expt,Mixed carbon,0.491588,,,,,0,,,,,,,,,,,,,
ECOR61,,MOPS,Preferred sugar expt,Mixed carbon,,,,,,0,,,,,,,,,,,,,
ECOR61,,N-C-,cAMP_I,Glucose,0.45708481,,,,,,,,,,,,,,,,,,0.053806462
ECOR61,,N-C-,cAMP_I,Fructose,0.21618615,,,,,,,,,,,,,,,,,,0.065185316
ECOR61,,N-C-,cAMP_I,Acetate,0.31566513,,,,,,,,,,,,,,,,,,0.103915721
ECOR61,,N-C-,cAMP_II,Glucose,0.41158291,,,,,,,,,,,,,,,,,,0.047877095
ECOR61,,N-C-,cAMP_II,Fructose,0.17559716,,,,,,,,,,,,,,,,,,0.04459627
ECOR61,,N-C-,cAMP_II,Acetate,0.34967204,,,,,,,,,,,,,,,,,,0.075904226
ECOR63,,LB,Growth rate expt_I,LB,2.43861162,,,,,0,,,,,,,,,,,,,
ECOR63,,LB,Growth rate expt_II,LB,2.35620516,,,,,0,,,,,,,,,,,,,
ECOR63,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.508045,,,,,0,,,,,,,,,,,,,
ECOR63,,MOPS,soft_agar expt_I,Glycerol,0.7814,,,,,0,,,,,,,,,0,,,,
ECOR63,,MOPS,swimming expt_I,Gly+CAA,0.576,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_I,Glucose,0.29724013,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_II,Glucose,0.25557335,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_III,Glucose,0.26133123,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_I,Glycerol,0.72404911,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_II,Glycerol,0.74785611,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_III,Glycerol,0.73621512,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_I,Acetate,0.36688533,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_II,Acetate,0.36738984,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_III,Acetate,0.38555605,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_I,Maltose,0.736136,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_I,Fructose,0.666932,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_I,Succinate,0.700934,,,,,0,,,,,,,,,,,,,
ECOR63,,N-C-,Growth rate expt_I,Lactose,0.75365038,,,,,0,,,,,,,,,,,,,
ECOR63,,MOPS,Yield expt (in fru_glu),fru_glu,0.914596,,,3.038677,-1.257839,-1.150414518,,2.100203,,,,,,,,,,,
ECOR63,,MOPS,Yield expt (in mal_glu),mal_glu,0.813376,,,3.456034,-0.777642,-0.632515339,,,0.465916,,,,,,,,,,
ECOR63,,MOPS,Yield expt (in fru_mal),fru_mal,0.819795,,,,-0.309761,-0.253940519,,2.72954,1.370118,,,,,,,,,,
ECOR63,,N-C-,Yield expt (in glucose),Glucose,0.454146,,,4.466873,0,0,,,,,,,,,,,,,
ECOR63,,MOPS,Yield expt (in glycerol),Glycerol,0.646,,,,0,0,,,,,-8.245,,,,,,,,
ECOR63,,MOPS,Yield expt (in galactose),Galactose,0.508,,,,0,0,,,,,,4.58,,,,,,,
ECOR63,,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.04,,,,-0.723,-0.75192,,,,,,,1.326,,,,,,
ECOR63,,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.508045,,,,-9.7495,-14.70268473,,,,,,,,,,,,,
ECOR63,,LB,R/P expt,LB,2.5089,,,,,0,,,,,,,,,,165.8798814,265.1807262,0.603980606,
ECOR63,,LB,R/P expt,LB,2.67355,,,,,0,,,,,,,,,,152.0276047,261.173072,0.603980606,
ECOR63,,MOPS,R/P expt,Glu+CAA+ACGU,1.508,,,,,0,,,,,,,,,,143.437299,310.9563481,0.461277925,
ECOR63,,N-C-,R/P expt,Glu+CAA,0.8888,,,,,0,,,,,,,,,,87.30782142,280.0403814,0.311768685,
ECOR63,,N-C-,R/P expt,Glucose,0.3106,,,,,0,,,,,,,,,,56.98627773,281.7029374,0.202292096,
ECOR63,,N-C-,R/P expt,Glycerol,0.7523,,,,,0,,,,,,,,,,81.26413839,316.2465528,0.26631961,
ECOR63,,N-C-,R/P expt,Glycerol,0.7247,,,,,0,,,,,,,,,,86.17248753,312.4590322,0.26631961,
ECOR63,,N-C-,R/P expt,Acetate,0.3649,,,,,0,,,,,,,,,,66.89381034,313.7338002,0.216157271,
ECOR63,,N-C-,R/P expt,Acetate,0.365,,,,,0,,,,,,,,,,72.01246765,328.8829277,0.216157271,
ECOR63,,N-C-,Yield expt (in acetate),Acetate,,,,,17.82,0,,,,,,,,,,,,,
ECOR63,,N-C-,Diauxie expt,Glucose,0.455735,Acetate,0.436099,,,0,0.015005,,,,,,,,,,,,
ECOR63,,N-C-,Preferred sugar expt,Mixed carbon,0.94994738,,,,,0,,,,,,,,,,,,,
ECOR63,,MOPS,Preferred sugar expt,Mixed carbon,0.922704112,,,1.102818107,-0.561270257,-0.517886374,,1.861153287,0.592383637,2.128925903,0.068347846,,,,,,,,
ECOR63,,N-C-,cAMP_I,Glucose,0.35629098,,,,,,,,,,,,,,,,,,0.237985629
ECOR63,,N-C-,cAMP_I,Fructose,0.65370271,,,,,,,,,,,,,,,,,,0.21660142
ECOR63,,N-C-,cAMP_I,Maltose,0.6914706,,,,,,,,,,,,,,,,,,0.173048177
ECOR63,,N-C-,cAMP_I,Acetate,0.35599041,,,,,,,,,,,,,,,,,,0.148349284
ECOR63,,N-C-,cAMP_II,Glucose,0.2923367,,,,,,,,,,,,,,,,,,0.183050267
ECOR63,,N-C-,cAMP_II,Fructose,0.6582536,,,,,,,,,,,,,,,,,,0.188466808
ECOR63,,N-C-,cAMP_II,Maltose,0.75789679,,,,,,,,,,,,,,,,,,0.18276628
ECOR63,,N-C-,cAMP_II,Acetate,0.36619555,,,,,,,,,,,,,,,,,,0.102274401
NCM3722,,LB,Growth rate expt_I,LB,2.77168253,,,,,0,,,,,,,,,,,,,
NCM3722,,LB,Growth rate expt_II,LB,2.56481464,,,,,0,,,,,,,,,,,,,
NCM3722,,MOPS,Growth rate expt_I,Glu+CAA+ACGU,1.909071,,,,,0,,,,,,,,,,,,,
NCM3722,,MOPS,soft_agar expt_I,Glycerol,,,,,,0,,,,,,,,,,,,,
NCM3722,,MOPS,soft_agar expt_I,Glu+CAA,1.182,,,,,0,,,,,,,,,,,,,
NCM3722,,MOPS,soft_agar expt_I,Gly+CAA,1.095,,,,,0,,,,,,,,,,,,,
NCM3722,,MOPS,swimming expt_I,Gly+CAA,1.19,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_I,Glucose,0.96961481,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_II,Glucose,0.94230057,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_III,Glucose,0.96120171,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_I,Glycerol,0.72557812,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_II,Glycerol,0.72420173,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_III,Glycerol,0.74399144,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_I,Acetate,0.4740719,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_II,Acetate,0.48347855,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_III,Acetate,0.48828044,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_I,Maltose,0.704234,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_I,Fructose,0.634309,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_I,Succinate,0.684213,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Growth rate expt_I,Lactose,0.93915108,,,,,0,,,,,,,,,,,,,
NCM3722,,MOPS,Yield expt (in fru_glu),fru_glu,1.047003,,,4.451925,-2.735808,-2.864399183,,0.547754,,,,,,,,,,,
NCM3722,,MOPS,Yield expt (in mal_glu),mal_glu,0.963871,,,4.603511,-2.268808,-2.186838236,,,0.120499,,,,,,,,,,
NCM3722,,MOPS,Yield expt (in fru_mal),fru_mal,0.700593,,,,0,0,,4.318056,-0.125044,,,,,,,,,,
NCM3722,,N-C-,Yield expt (in glucose),Glucose,0.872714,,,5.119554,-2.018127,-1.761247687,,,,,,,,,,,,,
NCM3722,,MOPS,Yield expt (in glycerol),Glycerol,0.66287,,,,0,0,,,,,9.5739,,,,,,,,
NCM3722,,MOPS,Yield expt (in galactose),Galactose,0.602,,,,0,0,,,,,,4.846,,,,,,,
NCM3722,,MOPS,Yield expt (in glu+CAA),Glu+CAA,1.25,,,,-3.49,-4.3625,,,,,,,2.77,,,,,,
NCM3722,,MOPS,Yield expt (in RDM),Glu+CAA+ACGU,1.909071,,,,-8.8323,-16.86148779,,,,,,,,,,,,,
NCM3722,,LB,R/P expt,LB,2.7717,,,,,0,,,,,,,,,,167.7845143,247.9462723,0.676697063,
NCM3722,,MOPS,R/P expt,Glu+CAA+ACGU,1.9091,,,,,0,,,,,,,,,,171.3934339,314.5670271,0.544855052,
NCM3722,,N-C-,R/P expt,Glu+CAA,1.3133,,,,,0,,,,,,,,,,112.7889172,263.9836581,0.427257195,
NCM3722,,N-C-,R/P expt,Glucose,0.9663,,,,,0,,,,,,,,,,92.51626898,280.2087079,0.324733351,
NCM3722,,N-C-,R/P expt,Glucose,0.9555,,,,,0,,,,,,,,,,90.91356635,284.6542323,0.324733351,
NCM3722,,N-C-,R/P expt,Glycerol,0.7107,,,,,0,,,,,,,,,,74.8018681,310.4301868,0.257907902,
NCM3722,,N-C-,R/P expt,Glycerol,0.7165,,,,,0,,,,,,,,,,74.80839605,269.6616337,0.257907902,
NCM3722,,N-C-,R/P expt,Acetate,0.4633,,,,,0,,,,,,,,,,58.3353666,311.2712581,0.184967989,
NCM3722,,N-C-,R/P expt,Acetate,0.47375,,,,,0,,,,,,,,,,58.37839537,319.7231257,0.184967989,
NCM3722,,N-C-,Yield expt (in acetate),Acetate,,,,,17.43,0,,,,,,,,,,,,,
NCM3722,,N-C-,Diauxie expt,Glucose,0.906648,Acetate,0.404455,,,0,1.785757,,,,,,,,,,,,
NCM3722,,N-C-,Preferred sugar expt_I,Mixed carbon,0.96182971,,,,,0,,,,,,,,,,,,,
NCM3722,,N-C-,Preferred sugar expt_II,Mixed carbon,0.97883688,,,,,0,,,,,,,,,,,,,
NCM3722,,MOPS,Preferred sugar expt,Mixed carbon,0.95645351,,,4.444438444,-2.053538448,-1.964114056,,0.793477358,0.132097175,1.199604419,0.104670928,,,,,,,,
NCM3722,,N-C-,cAMP_I,Glucose,0.9587234,,,,,,,,,,,,,,,,,,0.110853653
NCM3722,,N-C-,cAMP_I,Fructose,0.70154453,,,,,,,,,,,,,,,,,,0.312578786
NCM3722,,N-C-,cAMP_I,Maltose,0.7576265,,,,,,,,,,,,,,,,,,0.322354766
NCM3722,,N-C-,cAMP_I,Acetate,0.46618824,,,,,,,,,,,,,,,,,,0.275327741
NCM3722,,N-C-,cAMP_I,Glu+CAA,1.24878643,,,,,,,,,,,,,,,,,,0.131434769
NCM3722,,N-C-,cAMP_I,Glycerol,0.69902196,,,,,,,,,,,,,,,,,,0.228649105
NCM3722,,N-C-,cAMP_I,Galactose,0.5895834,,,,,,,,,,,,,,,,,,0.262754857
NCM3722,,N-C-,cAMP_II,Glucose,0.96571629,,,,,,,,,,,,,,,,,,0.118142684
NCM3722,,N-C-,cAMP_II,Fructose,0.68500144,,,,,,,,,,,,,,,,,,0.271525928
NCM3722,,N-C-,cAMP_II,Maltose,0.73982875,,,,,,,,,,,,,,,,,,0.322964002
NCM3722,,N-C-,cAMP_II,Acetate,0.45073655,,,,,,,,,,,,,,,,,,0.282147727
NCM3722,,N-C-,cAMP_II,Glu+CAA,1.23769857,,,,,,,,,,,,,,,,,,0.13041165
NCM3722,,N-C-,cAMP_II,Glycerol,0.71589864,,,,,,,,,,,,,,,,,,0.209126553
NCM3722,,N-C-,cAMP_II,Galactose,0.57700757,,,,,,,,,,,,,,,,,,0.264113144
Isolate_1,,LB,R/P expt,LB,2.71896794,,,,,0,,,,,,,,,,162.9520606,286.3612755,0.569043633,
Isolate_1,,LB,R/P expt,LB,2.72343552,,,,,,,,,,,,,,,148.5556156,258.962807,0.573656184,
Isolate_1,,MOPS,R/P expt,Glu+CAA+ACGU,1.782,,,,,0,,,,,,,,,,183.923445,322.9270369,0.569551087,
Isolate_1,,MOPS,R/P expt,Glu+CAA+ACGU,1.8,,,,,,,,,,,,,,,178.7441411,319.6865084,0.559123192,
Isolate_1,,N-C-,R/P expt,Glu+CAA,1.35,,,,,0,,,,,,,,,,141.1467116,287.3657642,0.491174417,
Isolate_1,,N-C-,R/P expt,Glu+CAA,1.392,,,,,,,,,,,,,,,131.5296451,308.6774798,0.426107033,
Isolate_1,,N-C-,R/P expt,Glucose,0.90323407,,,,,0,,,,,,,,,,103.736319,296.5710997,0.349785664,
Isolate_1,,N-C-,R/P expt,Glucose,0.90254957,,,,,0,,,,,,,,,,102.4849729,301.6784762,0.339715893,
Isolate_1,,N-C-,R/P expt,Glycerol,0.696,,,,,0,,,,,,,,,,90.27484144,315.8083738,0.285853223,
Isolate_1,,N-C-,R/P expt,Glycerol,0.702,,,,,0,,,,,,,,,,88.94699647,407.3882687,0.218334703,
Isolate_1,,N-C-,R/P expt,Acetate,0.41468015,,,,,0,,,,,,,,,,91.56755703,365.8379871,0.250295377,
Isolate_1,,N-C-,R/P expt,Acetate,0.32469169,,,,,0,,,,,,,,,,99.59322597,366.3555562,0.271848548,
Isolate_2,,LB,Growth rate expt_I,LB,2.7113963,,,,,,,,,,,,,,,,,,
Isolate_2,,LB,Growth rate expt_II,LB,2.62956846,,,,,,,,,,,,,,,,,,
Isolate_2,,N-C-,Growth rate expt_I,Glucose,0.8373646,,,,,,,,,,,,,,,,,,
Isolate_2,,N-C-,Growth rate expt_II,Glucose,0.84446137,,,,,,,,,,,,,,,,,,
Isolate_2,,N-C-,Growth rate expt_I,Acetate,0.17328476,,,,,,,,,,,,,,,,,,
Isolate_2,,N-C-,Growth rate expt_II,Acetate,0.11666062,,,,,,,,,,,,,,,,,,
Isolate_3,,LB,Growth rate expt_I,LB,2.7381189,,,,,,,,,,,,,,,,,,
Isolate_3,,LB,Growth rate expt_II,LB,2.27720667,,,,,,,,,,,,,,,,,,
Isolate_3,,N-C-,Growth rate expt_I,Glucose,0.80512643,,,,,,,,,,,,,,,,,,
Isolate_3,,N-C-,Growth rate expt_II,Glucose,0.86707073,,,,,,,,,,,,,,,,,,
Isolate_3,,N-C-,Growth rate expt_I,Acetate,0.40249619,,,,,,,,,,,,,,,,,,
Isolate_3,,N-C-,Growth rate expt_II,Acetate,0.39791716,,,,,,,,,,,,,,,,,,
Isolate_4,,LB,Growth rate expt_I,LB,2.66286801,,,,,,,,,,,,,,,,,,
Isolate_4,,LB,Growth rate expt_II,LB,2.83465988,,,,,,,,,,,,,,,,,,
Isolate_4,,N-C-,Growth rate expt_I,Glucose,0.88246856,,,,,,,,,,,,,,,,,,
Isolate_4,,N-C-,Growth rate expt_II,Glucose,0.86150851,,,,,,,,,,,,,,,,,,
Isolate_4,,N-C-,Growth rate expt_I,Acetate,0.40817765,,,,,,,,,,,,,,,,,,
Isolate_4,,N-C-,Growth rate expt_II,Acetate,0.38431108,,,,,,,,,,,,,,,,,,
Isolate_5,,LB,Growth rate expt_I,LB,3.10746732,,,,,,,,,,,,,,,,,,
Isolate_5,,LB,Growth rate expt_II,LB,3.05847952,,,,,,,,,,,,,,,,,,
Isolate_5,,N-C-,Growth rate expt_I,Glucose,0.7912173,,,,,,,,,,,,,,,,,,
Isolate_5,,N-C-,Growth rate expt_II,Glucose,0.82646122,,,,,,,,,,,,,,,,,,
Isolate_5,,N-C-,Growth rate expt_I,Acetate,0.29124632,,,,,,,,,,,,,,,,,,
Isolate_5,,N-C-,Growth rate expt_II,Acetate,0.29203654,,,,,,,,,,,,,,,,,,
Isolate_6,,LB,Growth rate expt_I,LB,2.88870426,,,,,,,,,,,,,,,,,,
Isolate_6,,LB,Growth rate expt_II,LB,3.09450222,,,,,,,,,,,,,,,,,,
Isolate_6,,N-C-,Growth rate expt_I,Glucose,0.75094877,,,,,,,,,,,,,,,,,,
Isolate_6,,N-C-,Growth rate expt_II,Glucose,0.7825305,,,,,,,,,,,,,,,,,,
Isolate_6,,N-C-,Growth rate expt_I,Acetate,0.12176526,,,,,,,,,,,,,,,,,,
Isolate_6,,N-C-,Growth rate expt_II,Acetate,0.11380096,,,,,,,,,,,,,,,,,,
